E_AC_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
100,518.0667556568188,912.2818885185002,277887.90740583965,55543.70957497946,6671.283880063032,rutting
200,409.0177489668059,763.0044362262277,334649.3777591851,123611.53236627538,6981.519969779929,rutting
300,340.02326734532613,673.5650693391552,434767.021769303,216011.75004678222,8614.603456130095,rutting
500,258.6133382288138,562.2651275481757,691764.8732187157,484893.23843810713,13195.927921815995,rutting
700,211.4138731194448,491.8862196369304,1007360.807942495,882377.8289442428,19005.258710684888,rutting
1000,168.10113877408006,421.4993725379162,1579646.9761123352,1761638.4663445777,29760.340227473785,fatigue
1500,127.38765082193561,348.2848035459894,2783281.2471228032,4138965.2501352825,52932.17929575034,fatigue
2000,103.67196235987825,301.3596125160174,4288368.033566324,7911683.1829867745,82602.35294226732,fatigue
