H_BASE_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
4,290.3980905493277,835.7365940532262,472367.74162655475,82229.54044962561,8348.837462269003,rutting
6,276.27999416008413,732.8581109041711,556559.6062124132,148060.27940324278,10164.91491815207,rutting
8,266.10711483166165,641.0187992782874,629697.2368065814,269632.4950399194,11788.210253212585,rutting
10,258.6133382288138,562.2651275481757,691764.8732187157,484893.23843810713,13195.927921815995,rutting
12,252.9963030663448,495.37737507662393,743607.795428152,854876.5992567261,14391.380270968564,fatigue
14,248.72609081782238,438.531149225087,786454.7508807603,1475355.3971573173,15392.112061191103,fatigue
16,245.44185483059465,390.017095191838,821621.4361242142,2493740.0481740558,16221.68044925938,fatigue
18,242.89151291111816,348.40080197208385,850355.7899319686,4132799.2938585477,16904.819419563402,fatigue
20,240.89497296297412,312.51775150642203,873770.948547956,6723240.699700443,17464.93000507711,fatigue
