E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
10,336.9385711915128,552.0391241881797,289616.45411532867,526421.473217142,4641.705757288315,fatigue
15,311.45738815682216,576.2669859305485,375161.07234237646,434330.34053746134,6332.147904913111,fatigue
20,291.0258206181647,579.2419456991972,469022.8955123383,424432.28814783134,8277.945834922873,rutting
25,273.7092662807128,572.9124006910919,573948.5169109053,445832.4531204261,10547.20175955608,rutting
30,258.6133382288138,562.2651275481757,691764.8732187157,484893.23843810713,13195.927921815995,rutting
40,233.20613570490684,536.29548957709,972210.7841637104,599225.5142967381,19851.907784751937,rutting
50,212.39589607430335,509.5532957837712,1322375.5163921306,753433.185791162,28715.44083408151,rutting
70,179.90507589518475,461.28150248309004,2283730.2221321324,1176404.5402419907,55317.62008258043,rutting
100,145.29261119975712,404.3216108470809,4613698.709341868,2122345.4498887006,128631.93548794463,rutting
