Mr_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
4,282.2430586430694,831.6508488381344,518789.8884718697,84053.66158282658,9342.853341259643,rutting
6,271.60918470336935,709.138778885185,588682.9978072206,171557.18497192784,10872.953221252956,rutting
8,264.20937814718644,625.2030721522597,644705.0361622107,301540.86159753206,12126.151880708663,rutting
10,258.6141132281862,562.265127548176,691758.0508682422,484893.23843810585,13195.771752296892,rutting
12,254.16788586107305,512.5069731330726,732386.8493674835,734187.087219481,14131.17820718257,fatigue
15,248.9172038363327,453.9855165296026,784469.3190432244,1263442.9232029715,15345.494346756894,fatigue
18,244.81272084719845,408.40018948568166,828590.698323037,2029088.1789470206,16386.937321111393,fatigue
21,241.49207089548375,371.62304688899593,866681.0879858286,3095872.9765425036,17295.01376526207,fatigue
25,237.9196441860346,332.1704872471422,910249.7350634491,5116809.630160934,18343.508345469105,fatigue
