H_AC_in,H_BASE_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
3.0,4.0,512.612177433529,1989.2649211927896,72790.94404213845,1693.8922158894634,885.0800474238083,rutting
3.230769230769231,4.0,492.89800899695115,1835.7936158566258,82818.84830307575,2426.5723885018215,1033.3435960867948,rutting
3.4615384615384617,4.0,472.6816053457057,1698.431036811335,95057.65279522013,3437.226290682954,1219.1979724635842,rutting
3.6923076923076925,4.0,452.5407586715448,1575.2826309500992,109704.18398594308,4814.583423538374,1447.9633114484325,rutting
3.9230769230769234,4.0,432.8354152277988,1464.640581923446,127014.81739775937,6670.443055030032,1726.2949259384072,rutting
4.153846153846154,4.0,413.780703412759,1364.9923566624561,147299.69425526712,9144.388283595492,2062.2055088459874,rutting
4.384615384615385,4.0,395.4963703404106,1275.0122967455554,170921.50552318583,12409.229085080988,2465.1637886306817,rutting
4.615384615384615,4.0,378.04005398257164,1193.5455068767267,198296.81097468117,16677.253414980823,2946.2432740010427,rutting
4.846153846153847,4.0,361.4295520659274,1119.5890549778778,229898.86152770589,22207.368614353418,3518.3084627158696,rutting
5.076923076923077,4.0,345.6576392604501,1052.2731015927507,266261.3766232292,29313.21784745002,4196.232430409991,rutting
5.307692307692308,4.0,330.7018601076833,990.8432369489656,307982.9746806544,38372.35845681352,4997.14302135621,rutting
5.538461538461538,4.0,316.53094840244285,934.6445681578699,355732.0858901798,49836.591532153856,5940.696627426422,rutting
5.769230769230769,4.0,303.1089909893076,883.1077053354022,410252.24964445987,64243.53535606078,7049.379539247343,rutting
6.0,4.0,290.3980905493277,835.7365940532262,472367.74162655475,82229.54044962561,8348.837462269003,rutting
6.230769230769231,4.0,278.3600351357612,792.098046858269,542989.5021425871,104544.05136712894,9868.234204159795,rutting
6.461538461538462,4.0,266.95731511149165,751.8127899603013,623121.3551115178,132065.5307074644,11640.640862108725,rutting
6.6923076923076925,4.0,256.1537152730311,714.5478351336561,713866.5200856965,165819.0743460529,13703.4571253945,rutting
6.923076923076923,4.0,245.9146338544119,680.0099961110433,816434.4297933639,206995.8637453682,16098.866589941319,rutting
7.153846153846154,4.0,236.2072288915924,647.9403848748401,932147.8739865395,256974.62125750986,18874.328272416715,rutting
7.384615384615385,4.0,227.00045802515885,618.1097417766517,1062450.4973275603,317345.25728304277,22083.106817611766,rutting
7.615384615384616,4.0,218.26505476859626,590.3144720063527,1208914.6848599846,389934.923548795,25784.844214769597,rutting
7.846153846153847,4.0,209.97346888455237,564.3732784397095,1373249.8733543789,476836.71407756506,30046.176173249452,rutting
8.076923076923077,4.0,202.09978830152116,540.1242968103118,1557311.3305099963,580441.2840756748,34941.396650525654,rutting
8.307692307692308,4.0,194.61965328331092,517.422653306301,1763109.4466316472,703471.6864081154,40553.17437015575,rutting
8.538461538461538,4.0,187.51016919191437,496.1383770902848,1992819.5850017979,849021.7550728958,46973.325507902824,rutting
8.76923076923077,4.0,180.74982138626476,476.15461097607283,2248792.537768896,1020598.3947199965,54303.64705483958,rutting
9.0,4.0,174.3183940486501,457.3660727047671,2533565.6338413367,1222168.1644867253,62656.81568193439,rutting
9.23076923076923,4.0,168.19689367015053,439.67772709984615,2849874.5441056574,1458208.573046449,72157.35722725131,rutting
9.461538461538462,4.0,162.36747731455463,423.00363600381604,3200665.8273942815,1733764.5297029554,82942.69220162921,rutting
9.692307692307693,4.0,156.81338545393123,407.2659584615481,3589110.258145147,2054510.423603668,95164.26295992668,rutting
9.923076923076923,4.0,151.51887901956889,392.3940782620221,4018616.9737645243,2426818.3297551856,108988.7484122274,rutting
10.153846153846153,4.0,146.4691802675412,378.32383981361835,4492848.476465965,2857832.8666089517,124599.37235341294,rutting
10.384615384615385,4.0,141.6504170720606,364.9968765276738,5015736.52095138,3355553.255672607,142197.31167186188,rutting
10.615384615384617,4.0,137.04957030259663,352.3600185266601,5591498.915842485,3928923.159016236,162003.21086073635,rutting
10.846153846153847,4.0,132.65442399430697,340.36476866913193,6224657.263372307,4587928.89579335,184258.8094010704,rutting
11.076923076923077,4.0,128.4535180752097,328.9668376730344,6920055.658588981,5343706.664060122,209228.688717278,rutting
11.307692307692308,4.0,124.43610346209242,318.12573058962624,7682880.366271174,6208659.41929233,237202.14552538586,rutting
11.538461538461538,4.0,120.59209937791626,307.8043780892192,8518680.490945304,7196584.086057719,268495.1985045366,rutting
11.76923076923077,4.0,116.91205277576746,297.9688070146148,9433389.652855188,8322809.804260805,303452.7353252381,rutting
12.0,4.0,113.3870997787233,288.58784547820886,10433348.680457432,9604347.936131194,342450.8071645443,rutting
3.0,4.410256410256411,501.2659096042529,1914.8899508513352,78355.29265719224,2008.976095329939,966.8781204111569,rutting
3.230769230769231,4.410256410256411,482.71959730690713,1769.7968362579845,88705.93290316302,2858.7720347402196,1122.1035319676548,rutting
3.4615384615384617,4.410256410256411,463.53564382956745,1639.589960568681,101370.84962607885,4024.972665270552,1316.9989599217365,rutting
3.6923076923076925,4.410256410256411,444.3053066692253,1522.5760448831475,116539.42374731081,5606.947651092532,1556.8872705134288,rutting
3.9230769230769234,4.410256410256411,425.40238427587434,1417.215836331803,134465.89546079244,7729.540811534066,1848.5206488399974,rutting
4.153846153846154,4.410256410256411,407.05517863023323,1322.136550331281,155461.81203035387,10548.206058983975,2200.078610271874,rutting
4.384615384615385,4.410256410256411,389.395453308286,1236.1278137056895,179893.84742665198,14254.923994386818,2621.255172599243,rutting
4.615384615384615,4.410256410256411,372.49154516446674,1158.129664313408,208184.5745476243,19084.980946023883,3123.402725542357,rutting
4.846153846153847,4.410256410256411,356.37063880866515,1087.2173601829043,240814.96950998047,25324.69509964899,3719.717039586188,rutting
5.076923076923077,4.410256410256411,341.03367042022666,1022.5855592591838,278328.0032587543,33320.17656406591,4425.4558553484785,rutting
5.307692307692308,4.410256410256411,326.46524156825944,963.5331810936018,321332.96718770155,43487.21017705922,5258.187511764709,rutting
5.538461538461538,4.410256410256411,312.64016864294484,909.44955913223,370510.3337560357,56322.35221451569,6238.068198935411,rutting
5.769230769230769,4.410256410256411,299.5277729440333,859.8021052821505,426617.0382979673,72415.33567559288,7388.147611698361,rutting
6.0,4.410256410256411,287.09465986962846,814.1255022958549,490492.1175216991,92462.88425522191,8734.70349362034,rutting
6.230769230769231,4.410256410256411,275.3064925399885,772.0123359143488,563062.6704042192,117284.04317701081,10307.60603313392,rutting
6.461538461538462,4.410256410256411,264.12910005857725,733.1050324042503,645350.127058923,147837.14627296617,12140.713428563307,rutting
6.6923076923076925,4.410256410256411,253.52914874953532,697.0889521331476,738476.8252882664,185238.5533671346,14272.300244173595,rutting
6.923076923076923,4.410256410256411,243.47452908911123,663.6864913619086,843672.9053429621,230783.3102098986,16745.520471299842,rutting
7.153846153846154,4.410256410256411,233.9345600154234,632.652054169333,962283.5421257425,285967.90474546916,19608.907505427076,rutting
7.384615384615385,4.410256410256411,224.8800779228443,603.7677697467894,1095776.541303871,352515.31800527504,22916.913559667337,rutting
7.615384615384616,4.410256410256411,216.28345454162235,576.8398446964912,1245750.3318020634,432402.5948858443,26730.49135896744,rutting
7.846153846153847,4.410256410256411,208.11857242447155,551.6954541085946,1413942.392042223,527891.1888863757,31117.721295304837,rutting
8.076923076923077,4.410256410256411,200.3607764414159,528.1800884103955,1602238.1511126473,641560.364918482,36154.487567609016,rutting
8.307692307692308,4.410256410256411,192.98681284980213,506.1552849718551,1812680.408800061,776343.9749579483,41925.20717556752,rutting
8.538461538461538,4.410256410256411,185.97476302347704,485.4966841131371,2047479.3201233128,935570.9520590028,48523.61597789,rutting
8.76923076923077,4.410256410256411,179.30397602289642,466.09235850024623,2309022.990708591,1123009.8986727523,56053.61635729523,rutting
9.0,4.410256410256411,172.95500234230866,447.84137300300887,2599888.7291106335,1342918.1749999716,64630.191351446796,rutting
9.23076923076923,4.410256410256411,166.90953002498227,430.652539025823,2922855.001105826,1600095.9220824197,74380.39040724908,rutting
9.461538461538462,4.410256410256411,161.15032365110773,414.4433332206312,3280914.129177574,1899945.4824271938,85444.392192471,rutting
9.692307692307693,4.410256410256411,155.66116631235445,399.13895547264815,3677285.778011638,2248536.708186521,97976.65015189463,rutting
9.923076923076923,4.410256410256411,150.42680448257613,384.671505229048,4115431.26396249,2652678.673374295,112147.12672472041,rutting
10.153846153846153,4.410256410256411,145.43289560325667,370.9792587294767,4599068.723276768,3119998.3324234155,128142.62234623727,rutting
10.384615384615385,4.410256410256411,140.66595817732306,358.0060325961563,5132189.17050645,3659026.692726653,146168.20554140318,rutting
10.615384615384617,4.410256410256411,136.11332417550818,345.70062164159816,5719073.475128961,4279293.093803993,166448.75058289384,rutting
10.846153846153847,4.410256410256411,131.7630935864566,334.0163007339802,6364310.281022844,4991428.210522991,189230.58933395793,rutting
11.076923076923077,4.410256410256411,127.60409097388741,322.9103821939549,7072814.890207516,5807276.422451156,214783.28402957442,rutting
11.307692307692308,4.410256410256411,123.6258239349524,312.34382154206344,7849849.129208894,6740018.215979099,243401.52787054147,rutting
11.538461538461538,4.410256410256411,119.81844338026825,302.2808655238575,8701042.213599963,7804303.310312093,275407.180416485,rutting
11.76923076923077,4.410256410256411,116.1727055767237,292.68873725303683,9632412.623708881,9016395.222726151,311151.44486727635,rutting
12.0,4.410256410256411,112.67993590899754,283.5373540669343,10650391.002189875,10394328.01251897,351017.19441938854,rutting
3.0,4.82051282051282,491.10945850789926,1841.5833245043375,83815.60876245354,2392.6042562709795,1048.285582062498,rutting
3.230769230769231,4.82051282051282,473.5613322688186,1704.6254160184099,94477.74064846935,3381.658903842851,1210.2779666705073,rutting
3.4615384615384617,4.82051282051282,455.26818874774426,1581.3938648864187,107556.08389382131,4731.843248537961,1414.0074761169337,rutting
3.6923076923076925,4.82051282051282,436.8298831953416,1470.3808253179059,123232.36167867888,6554.646878997202,1664.789983029693,rutting
3.9230769230769234,4.82051282051282,418.6299804567059,1370.2035956777324,141758.4893716266,8989.711322241204,1969.4666001622982,rutting
4.153846153846154,4.82051282051282,400.90658226104745,1279.620111422939,163447.22684536476,12210.424384950958,2336.3763203965473,rutting
4.384615384615385,4.82051282051282,383.80070671701657,1197.5285338016681,188669.02045481338,16430.349825115733,2775.431044575031,rutting
4.615384615384615,4.82051282051282,367.38913767040003,1122.9588020778906,217852.2211754723,21910.576923317552,3298.254160347082,rutting
4.846153846153847,4.82051282051282,351.70661275500265,1055.0606223455193,251485.2666102696,28968.07708400467,3918.364059689769,rutting
5.076923076923077,4.82051282051282,336.7607353277896,993.0903725933069,290120.08424558915,37985.156540945725,4651.3935046647575,rutting
5.307692307692308,4.82051282051282,322.54194420234444,936.398244977329,334376.3106588113,49420.09605790553,5515.340507786742,rutting
5.538461538461538,4.82051282051282,309.0301402456638,884.4162806695512,384946.09903497493,63819.07089589819,6530.8488974635,rutting
5.769230769230769,4.82051282051282,296.19906011102495,836.6475765335441,442599.38486006315,81829.44806723582,7721.518128047799,rutting
6.0,4.82051282051282,284.0191375910637,792.6567355861914,508189.53560700023,104214.56382614125,9114.24271571792,rutting
6.230769230769231,4.82051282051282,272.45935388737865,752.0615235842469,582659.3441123919,131870.09316790078,10739.58221332691,rutting
6.461538461538462,4.82051282051282,261.4884151950519,714.5256403485226,667047.3472809136,165842.13534737262,12632.163025997268,rutting
6.6923076923076925,4.82051282051282,251.0754853929993,679.7524922048096,762494.4670790833,207347.1553630885,14831.113693599233,rutting
6.923076923076923,4.82051282051282,241.19062669811726,647.479847019431,870250.982293286,257793.9410014374,17380.535568861244,rutting
7.153846153846154,4.82051282051282,231.80505046873768,617.4752575856438,991683.8486775628,318807.7581628532,20330.01112265485,rutting
7.384615384615385,4.82051282051282,222.8912461356745,589.532147922462,1128284.3926276832,392256.913356622,23735.152420892457,rutting
7.615384615384616,4.82051282051282,214.4230331943623,563.466467754188,1281676.4097276016,480281.9608606592,27658.192643211707,rutting
