E_AC_ksi,E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
100.0,10.0,942.3721586492367,1051.9103014969623,38792.430886830916,29358.507571535378,628.1483703340273,rutting
107.98408271867898,10.0,904.0192811077392,1025.8834536042305,41652.690389677104,32843.300407977615,670.7964365226651,rutting
116.60562120594504,10.0,866.4345690227633,999.9083463869299,44858.65025527034,36839.25721566209,718.9318981735931,rutting
125.9155104576573,10.0,829.6755941592033,974.0144839346194,48452.71755362271,41430.98783444143,773.2275379705744,rutting
135.96870896824353,10.0,793.7923386701835,948.2310677444862,52483.25551646676,46718.38978005298,834.456491995483,rutting
146.824563163788,10.0,758.8274235584607,922.5868412249783,57005.43867304534,52819.607080171125,903.5070847059513,rutting
158.5471577381239,10.0,724.8163937373432,897.1099432410359,62082.2386988266,59874.59455832274,981.400079382575,rutting
171.20569396005033,10.0,691.788048979231,871.8277722048061,67785.56136441232,68049.41719733727,1069.3087380491013,fatigue
184.87489818490914,10.0,659.7648106851523,846.766861927481,74197.55825739128,77541.44298493829,1168.5821527385128,fatigue
199.63546298206583,10.0,628.763115180265,821.952770159986,81412.14076724355,88585.62296627706,1280.772389481795,fatigue
215.57452348237172,10.0,598.7938250936636,797.4099804647894,89536.72825674721,101462.095614725,1407.6660795301382,fatigue
232.78617175760255,10.0,569.8626512770064,773.1618177800436,98694.26748892758,116505.40594674856,1551.321201399465,fatigue
251.37201226837567,10.0,541.9705786224865,749.2303777615784,109025.56634635697,134115.69534546367,1714.1099250280781,fatigue
271.4417616594907,10.0,515.1142900296456,725.6364697196173,120691.9917948522,154772.29865030182,1898.7685387610063,fatigue
293.11389644342387,10.0,489.28658362163844,702.3995727076041,133878.5900490488,179050.28420673413,2108.4556545954283,fatigue
316.51635239540985,10.0,464.47677910953604,679.5378040734219,148797.6961556412,207640.5945576541,2346.8200912722446,fatigue
341.78727978880517,10.0,440.6711099381444,657.0678995537144,165693.11090708195,241374.5956204946,2618.0800731569443,fatigue
369.07585892906616,10.0,417.8530985131904,635.0052037863422,184844.9353475004,281254.027124142,2927.115660958496,fatigue
398.54318080063774,10.0,396.00391240633655,613.3636699429318,206575.16737962322,328487.57495920203,3279.5766546347445,fatigue
430.36319802541544,10.0,375.10269996320415,592.155867052566,231254.18141332467,384535.5671089928,3682.008586878775,fatigue
464.7237517465168,10.0,355.12690420514934,571.3929935095674,259308.23094986405,451164.64169571735,4141.999866268602,fatigue
501.8276804993071,10.0,336.0525543241648,551.084895242886,291228.13587150665,530514.6643417224,4668.353643073437,fatigue
541.8940176155999,10.0,317.85453442948244,531.2400870803863,327579.3414846596,625180.7025791175,5271.28857051629,fatigue
585.1592842296022,10.0,300.50682952157774,511.8657759731242,369013.56562920305,738313.5228145126,5962.673335324146,fatigue
631.8788855185242,10.0,283.98274895124285,492.9678849529465,416282.2841303301,873742.8925825502,6756.3006523282975,fatigue
682.32861842019,10.0,268.25512787372475,474.55107697611044,470252.3444093744,1036128.9885733196,7668.207381625607,fatigue
736.8062997280774,10.0,253.29650743438154,456.618778143728,531924.0432707012,1231148.4817704782,8717.04856164786,fatigue
795.6335241748048,10.0,239.07929462461655,439.1732001687888,602452.0590843598,1465723.4625189495,9924.534492425533,fatigue
859.157562882462,10.0,225.57590292477002,422.21536235488986,683169.6924480838,1748303.367463238,11315.94159381434,fatigue
927.7534133867852,10.0,212.75887500212013,405.74511373599324,775616.9449865286,2089212.58942544,12920.709657422378,fatigue
1001.8260133369538,10.0,200.6009888540739,389.76115636983155,881573.0557494183,2501079.6358092017,14773.140375298632,fatigue
1081.8126309390202,10.0,189.07534887521726,374.2610710514049,1003094.2217882185,2999367.7393573667,16913.214745862653,fatigue
1168.18544625431,10.0,178.15546337876165,359.2413468926,1142557.3576757964,3603031.9612224298,19387.55023004563,fatigue
1261.454338590822,10.0,167.81531011556896,344.6974162806563,1302710.902523786,4335334.377009566,22250.522483352688,fatigue
1362.1698964422794,10.0,158.02939130650287,330.6236966717472,1486733.8678991564,5224857.3125003,25565.581275443077,fatigue
1470.926667743175,10.0,148.7727796374605,317.013640495116,1698304.5424482287,6306765.330022364,29406.796013663337,fatigue
