H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
3,423.79021436562215,1113.1775981521932,136156.69221849195,22785.762866924964,1876.4479351784576,rutting
4,364.577947011977,868.4889386766275,223429.489882537,69228.49945037319,3399.8387614595963,rutting
5,307.0876976986336,691.6007788048222,393017.65946334635,191910.9237173204,6695.51837367162,rutting
6,258.6133382288138,562.2651275481757,691764.8732187157,484893.23843810713,13195.927921815995,rutting
7,218.886602763032,465.74472847589084,1197653.974139172,1126767.438009528,25496.898795003257,rutting
8,186.50121003833527,392.124421145759,2028520.313436257,2434298.845739163,47984.94059186279,fatigue
9,160.06532443522113,334.77307762048423,3354674.6268791268,4941110.3327581175,87754.66504603685,fatigue
10,138.3920764033745,289.2004718066913,5414964.841115962,9513596.794342142,155885.06110960562,fatigue
12,105.65566920921071,221.99072617383737,13163199.466326104,31087915.954402052,452609.31004220154,fatigue
